#{"t_start": 1734092311.9521792, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-870.0,1000,7.062801
-124.0,1000,10.816414
-29.0,1000,15.427393
-22.0,1000,20.260317
-11.0,1000,25.062877
-5.0,1000,30.049506
-1.0,1000,34.9454
-18.0,1000,39.992237
-20.0,1000,44.830933
-6.0,1000,49.035538
-8.0,1000,53.203156
-18.0,1000,57.571399
-5.0,1000,61.790235
-11.0,1000,66.000502
-7.0,1000,70.229953
-30.0,1000,74.366397
-3.0,1000,78.47589
-2.0,1000,82.648753
-26.0,1000,86.786839
0.0,1000,90.983538
-14.0,1000,95.001753
-20.0,1000,99.164831
-12.0,1000,103.227275
-23.0,1000,107.133113
-15.0,1000,111.078452
