#{"t_start": 1734092590.4700372, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-828.333333,1000,2.125843
-881.833333,1000,3.337038
-801.166667,1000,6.171725
-864.5,1000,7.616384
-800.0,1000,10.427876
-808.0,1000,11.94963
-808.166667,1000,14.666784
-825.666667,1000,16.118928
-810.166667,1000,18.734515
-804.333333,1000,20.250053
-754.666667,1000,23.065771
-751.0,1000,24.551211
-791.0,1000,27.329579
-746.166667,1000,28.819921
-764.666667,1000,31.549487
-743.666667,1000,33.017373
-762.833333,1000,35.792588
-725.333333,1000,37.320048
-760.666667,1000,40.078333
-768.333333,1000,41.547502
-772.666667,1000,44.257042
-719.833333,1000,45.750096
-725.333333,1000,48.499511
-783.833333,1000,50.015078
-706.333333,1000,52.947181
-723.833333,1000,54.441435
