#{"t_start": 1734092857.5062118, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-877.5,1000,7.057264
-466.5,1000,10.781258
-96.75,1000,14.951829
-16.5,1000,19.428804
-24.5,1000,23.932564
-24.0,1000,28.106958
-6.0,1000,32.454935
-16.25,1000,37.563607
-25.5,1000,42.73229
-13.5,1000,47.927706
-2.0,1000,53.037212
-33.5,1000,57.962443
-9.5,1000,62.437422
-7.5,1000,67.026982
-24.0,1000,71.499755
-29.0,1000,75.934959
-10.25,1000,80.36071
-26.0,1000,84.864848
-22.5,1000,89.372237
-18.0,1000,93.781992
-38.0,1000,98.254507
-24.5,1000,102.52048
-3.75,1000,107.521794
-18.5,1000,113.017994
-29.0,1000,118.522609
