#{"t_start": 1734095490.7977393, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-993.0,1000,9.385198
-933.0,1000,18.034515
-968.5,1000,26.810876
-975.5,1000,35.579378
-905.5,1000,44.343352
-1042.5,1000,53.001662
-957.0,1000,61.724725
-973.0,1000,70.524069
-1237.0,1000,79.361077
-1106.5,1000,88.540769
-1075.0,1000,97.673544
-1063.0,1000,107.299921
-1368.5,1000,116.98074
-1088.5,1000,127.270818
-1670.0,1000,137.213936
-1264.5,1000,146.454672
-1356.0,1000,155.517024
-1533.5,1000,165.323454
-1115.0,1000,175.103726
-1239.0,1000,184.777954
-1273.0,1000,194.454258
-1319.0,1000,203.666291
-1095.5,1000,212.542794
-1189.5,1000,221.378378
-999.0,1000,230.523221
