#{"t_start": 1734092657.7607265, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-824.166667,1000,2.165233
-838.666667,1000,3.476997
-819.5,1000,6.222061
-815.666667,1000,7.809444
-842.666667,1000,10.725886
-823.5,1000,12.348712
-853.5,1000,15.14577
-805.666667,1000,16.702821
-769.0,1000,19.560355
-779.333333,1000,21.164853
-759.0,1000,23.990528
-797.166667,1000,25.614697
-779.833333,1000,28.443679
-809.333333,1000,30.05624
-802.5,1000,32.869636
-744.0,1000,34.507651
-780.333333,1000,37.579646
-752.0,1000,39.212493
-770.5,1000,42.088764
-739.166667,1000,43.696487
-765.333333,1000,46.6103
-742.833333,1000,48.245058
-721.166667,1000,51.399163
-754.166667,1000,53.271476
-754.833333,1000,56.39181
-758.5,1000,58.016433
