#{"t_start": 1734092429.4647355, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-832.75,1000,2.041114
-861.0,1000,3.169754
-839.5,1000,5.781204
-824.5,1000,7.146265
-799.0,1000,9.855846
-802.5,1000,11.268706
-764.5,1000,13.935781
-771.25,1000,15.288057
-759.0,1000,17.894387
-766.5,1000,19.252682
-742.5,1000,21.967488
-732.0,1000,23.383168
-733.0,1000,26.058981
-703.25,1000,27.476035
-726.5,1000,30.19064
-745.25,1000,31.520308
-753.0,1000,34.088544
-755.5,1000,35.513419
-655.0,1000,38.21412
-766.25,1000,39.618212
-705.75,1000,42.320919
-686.75,1000,43.750544
-690.75,1000,46.600583
-651.75,1000,47.951411
-696.25,1000,50.673336
-658.0,1000,52.251843
