#{"t_start": 1734095226.9691238, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-1004.25,1000,5.608906
-1003.5,1000,10.901301
-996.0,1000,16.175109
-1020.5,1000,21.497689
-994.0,1000,26.878084
-984.5,1000,32.243877
-1016.5,1000,37.575001
-1002.0,1000,42.954317
-1022.0,1000,48.261919
-999.0,1000,53.642264
-1012.0,1000,59.121077
-992.5,1000,64.507091
-1009.0,1000,69.930302
-1023.0,1000,75.390944
-1431.5,1000,80.805149
-1490.5,1000,86.241811
-1516.0,1000,91.666251
-1487.0,1000,97.117051
-1497.75,1000,102.529636
-1496.5,1000,108.080128
-1501.0,1000,113.518415
-1496.5,1000,118.85096
-1508.25,1000,124.855341
-1511.0,1000,131.081392
-1515.5,1000,137.240368
