#{"t_start": 1734095042.9851615, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-1001.5,1000,5.72795
-1014.5,1000,12.173957
-999.0,1000,19.195319
-1000.0,1000,26.415426
-996.0,1000,32.699259
-1006.25,1000,40.046385
-1141.5,1000,47.361758
-1493.5,1000,54.510976
-1499.5,1000,61.514415
-1489.5,1000,68.444313
-1479.75,1000,75.881132
-1495.5,1000,82.409134
-1500.0,1000,88.369007
-1487.5,1000,94.475835
-1488.75,1000,100.668485
-1508.5,1000,106.922385
-1489.75,1000,113.166363
-1497.25,1000,119.158338
-1500.5,1000,125.044571
-1494.5,1000,130.789511
-1511.0,1000,136.454996
-1498.75,1000,142.245712
-1497.0,1000,147.741081
-1503.0,1000,153.455914
-1506.5,1000,159.038749
