#{"t_start": 1734092720.491054, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-782.75,1000,7.153364
-668.25,1000,11.094564
-188.5,1000,15.754002
-21.25,1000,20.979536
-11.5,1000,26.403757
-15.5,1000,31.016419
-12.5,1000,35.839074
-0.25,1000,40.782582
-8.5,1000,45.598762
-7.0,1000,50.40514
-2.5,1000,55.017665
-11.75,1000,59.700392
-18.0,1000,64.442197
-7.0,1000,69.166908
-1.25,1000,74.018004
-2.5,1000,78.857107
-13.0,1000,83.56487
-1.5,1000,88.406933
-12.5,1000,93.104357
-26.0,1000,97.987185
0.0,1000,102.816356
-1.75,1000,107.569997
-14.5,1000,112.467083
-13.5,1000,117.239771
-11.5,1000,122.441709
