#{"t_start": 1734096593.2083511, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-961.833333,1000,11.26511
-927.5,1000,21.396927
-950.833333,1000,33.347122
-891.833333,1000,42.588646
-946.333333,1000,52.062727
-955.666667,1000,61.42952
-969.0,1000,70.26913
-1002.5,1000,79.558654
-1059.166667,1000,88.840683
-1036.333333,1000,97.747703
-1108.5,1000,106.603091
-1065.666667,1000,116.104956
-1037.5,1000,126.554348
-1295.5,1000,136.742151
-1207.5,1000,147.416363
-1435.333333,1000,158.904225
-1361.166667,1000,171.058971
-1577.833333,1000,181.583504
-1544.166667,1000,192.441814
-1444.833333,1000,203.091381
-1291.833333,1000,213.769725
-1217.666667,1000,224.769186
-1371.666667,1000,235.693358
-1358.0,1000,246.690706
-1206.333333,1000,257.876861
