#{"t_start": 1734094869.2490733, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-117.0,1000,6.019278
-27.0,1000,12.319107
-16.0,1000,17.9255
-23.0,1000,24.16823
-1.0,1000,30.510368
-46.0,1000,36.681915
-23.0,1000,42.969924
-18.0,1000,49.195322
-9.0,1000,55.180078
-5.0,1000,61.025241
0.0,1000,66.84633
-19.0,1000,72.497238
-36.0,1000,78.344121
-47.0,1000,84.072645
-10.0,1000,89.670476
-47.0,1000,95.63657
-52.0,1000,101.6603
-17.0,1000,107.399544
-32.0,1000,113.03428
-22.0,1000,118.399287
-22.0,1000,123.525656
-41.0,1000,128.790306
-16.0,1000,134.076561
-6.0,1000,139.317545
-6.0,1000,144.586025
