#{"t_start": 1734094518.1017933, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-992.0,1000,5.393543
-1009.0,1000,10.572191
-1017.0,1000,15.68619
-995.0,1000,20.827469
-998.0,1000,26.048429
-991.0,1000,31.294462
-1001.0,1000,36.392464
-997.0,1000,41.58032
-997.0,1000,46.794784
-999.0,1000,51.941536
-1009.0,1000,57.200265
-997.0,1000,62.471648
-1000.0,1000,67.730838
-1021.0,1000,72.916692
-977.0,1000,78.134727
-1010.0,1000,83.448485
-997.0,1000,88.734091
-1000.0,1000,94.05612
-984.5,1000,99.340599
-991.0,1000,104.545877
-999.0,1000,109.720856
-995.0,1000,115.43347
-1011.0,1000,121.501686
-977.0,1000,127.621773
-1002.0,1000,133.572966
