#{"t_start": 1734092206.1970406, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-806.5,1000,2.165798
-831.0,1000,3.226251
-793.0,1000,5.773798
-844.0,1000,6.96121
-777.0,1000,9.528314
-799.5,1000,10.884079
-818.0,1000,13.434559
-713.5,1000,14.720773
-689.0,1000,17.316069
-787.0,1000,18.624169
-687.0,1000,21.309459
-715.5,1000,22.663919
-673.5,1000,25.365231
-703.0,1000,26.702257
-673.5,1000,29.28994
-714.0,1000,30.629223
-705.5,1000,33.310776
-681.0,1000,34.661697
-680.5,1000,37.302632
-641.0,1000,38.616133
-693.0,1000,41.259613
-607.5,1000,42.57968
-598.0,1000,45.403132
-613.0,1000,46.732674
-572.0,1000,49.283891
-605.0,1000,50.581137
