#{"t_start": 1734093020.868327, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-966.0,1000,7.4117
-835.666667,1000,11.590577
-719.166667,1000,16.108958
-287.166667,1000,21.239872
-69.666667,1000,26.337563
-13.0,1000,31.485854
-10.833333,1000,36.803358
-28.166667,1000,41.990535
-17.0,1000,47.431007
-14.833333,1000,52.602587
-2.666667,1000,57.790807
-1.666667,1000,63.003265
-16.666667,1000,68.501695
-17.5,1000,73.852594
-8.5,1000,79.574741
-10.0,1000,84.956922
-8.0,1000,90.186924
-6.833333,1000,94.972048
-20.333333,1000,99.928191
-11.0,1000,105.059705
-24.833333,1000,110.068089
-18.666667,1000,115.060977
-12.0,1000,119.390354
-5.166667,1000,123.412177
-13.333333,1000,128.176603
