#{"t_start": 1734093167.9453306, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-995.333333,1000,6.61757
-1000.666667,1000,10.840362
-839.0,1000,15.99313
-758.0,1000,21.070234
-344.0,1000,25.771664
-62.666667,1000,30.345751
-25.5,1000,35.134842
-16.0,1000,40.189887
-10.666667,1000,44.942288
-23.333333,1000,49.537786
-29.333333,1000,54.164515
-13.166667,1000,58.939552
-15.666667,1000,63.847655
-11.666667,1000,68.684686
-15.5,1000,73.349204
-22.333333,1000,79.135721
-14.333333,1000,84.958457
-18.0,1000,90.746638
-7.0,1000,96.610461
-14.5,1000,102.034432
-17.833333,1000,106.893881
-41.0,1000,111.633144
-17.0,1000,116.355071
-9.0,1000,121.089409
-23.0,1000,125.841169
