#{"t_start": 1734096347.5212584, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-944.0,1000,9.885429
-956.5,1000,19.448256
-949.25,1000,28.761661
-943.5,1000,37.913168
-946.25,1000,47.036058
-958.0,1000,56.362738
-1005.5,1000,65.53468
-984.25,1000,74.748861
-1034.0,1000,83.8326
-972.0,1000,92.978472
-1112.75,1000,102.041906
-1126.5,1000,111.001094
-1284.0,1000,120.019118
-1146.0,1000,129.238465
-1036.75,1000,138.188539
-1285.5,1000,147.074065
-1414.5,1000,156.590319
-1252.0,1000,165.801817
-1372.0,1000,174.956622
-1142.75,1000,183.887262
-1374.5,1000,192.929499
-1651.25,1000,202.070407
-1341.5,1000,211.009561
-1225.0,1000,219.999121
-1400.75,1000,229.114637
