#{"t_start": 1734095973.2629542, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-944.5,1000,9.777821
-955.25,1000,18.787613
-917.5,1000,27.873198
-951.0,1000,37.116461
-962.5,1000,46.473736
-985.75,1000,55.495192
-934.75,1000,64.614849
-979.75,1000,73.706504
-1066.75,1000,82.702387
-1026.0,1000,91.517745
-1183.0,1000,100.158046
-1114.25,1000,108.900066
-1173.0,1000,117.583863
-1448.5,1000,126.594192
-1499.0,1000,135.547375
-1276.0,1000,144.577264
-1475.75,1000,153.758281
-1551.5,1000,162.790448
-1352.5,1000,171.899627
-1260.5,1000,180.957324
-1457.25,1000,189.758012
-1428.5,1000,198.539651
-1243.75,1000,207.249504
-1349.0,1000,216.081944
-1472.5,1000,225.049476
