#{"t_start": 1734092510.5718532, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-849.25,1000,2.190364
-866.5,1000,3.506876
-877.0,1000,6.374935
-840.75,1000,7.978106
-798.0,1000,11.01462
-795.75,1000,12.666679
-808.25,1000,15.472967
-768.0,1000,16.969817
-774.25,1000,19.687999
-785.75,1000,21.199953
-720.5,1000,23.980551
-725.25,1000,25.465422
-770.0,1000,28.190059
-783.5,1000,29.72616
-777.0,1000,32.405236
-718.75,1000,33.878065
-740.25,1000,36.727287
-728.75,1000,38.212638
-701.5,1000,41.096833
-725.75,1000,42.655719
-691.75,1000,45.612696
-704.75,1000,47.517973
-695.0,1000,50.928882
-710.25,1000,52.862671
-651.0,1000,56.232405
-622.25,1000,57.977296
