#{"t_start": 1734095377.4202414, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-1313.666667,1000,6.140741
-1370.666667,1000,12.469264
-1322.666667,1000,18.731181
-1333.333333,1000,24.976262
-1333.0,1000,31.188596
-1335.833333,1000,37.051549
-1323.333333,1000,43.092004
-1343.833333,1000,49.071704
-1330.333333,1000,54.637743
-1336.0,1000,60.534061
-1334.0,1000,66.554631
-1331.5,1000,72.54094
-1337.0,1000,78.698215
-1339.333333,1000,85.018003
-1331.666667,1000,90.461335
-1330.666667,1000,96.045795
-1335.5,1000,101.527994
-1330.5,1000,106.99175
-1331.5,1000,112.56415
-1329.333333,1000,118.095481
-1342.0,1000,123.556328
-1340.0,1000,129.199411
-1330.833333,1000,134.673763
-1327.833333,1000,140.125102
-1339.166667,1000,145.62585
